GAge	GSex	GCity	GCity_X	GCity_Y	GState	VFrom	VNights	VPersons	VTypeOfVisit	VPriceRoom	VPriceFood	VPriceDeduction	VPriceTotal	QSatisfaction	QRoom	QFood	QService	QCulture	WTemperature	WSky	XEUR
25	male	Praha	14.4212806	50.0874967	CR	10.2.2012	14	4	private	67760	8400	200	75960	low	16	31	28	2	14	rain/snow	25.25
40	female	Bratislava	17.1097606	48.1547933	Slovakia	10.2.2012	2	2	private	4840	600	200	5240	average	58	68	69	50	14	rain/snow	25.25
66	male	Dresden	13.7397044	51.0497456	Germany	10.2.2012	7	1	private	8470	1050	200	9320	average	43	44	45	64	14	rain/snow	25.25
24	female	Wien	16.3736767	48.2115631	Austria	10.2.2012	7	3	private	25410	3150	200	28360	average	42	67	72	33	14	rain/snow	25.25
24	female	Dresden	13.7397044	51.0497456	Germany	10.2.2012	7	2	private	16940	2100	200	18840	average	50	55	72	34	14	rain/snow	25.25
82	female	Bratislava	17.1097606	48.1547933	Slovakia	10.2.2012	2	2	private	4840	600	200	5240	average	49	68	53	64	14	rain/snow	25.25
30	female	Bratislava	17.1097606	48.1547933	Slovakia	10.2.2012	2	2	private	4840	0	200	4640	average	33	58	59	64	14	rain/snow	25.25
53	male	Wien	16.3736767	48.2115631	Austria	13.2.2012	1	2	business	2420	0	0	2420	average	42	44	54	50	6.8	rain/snow	25.05
65	female	Pardubice	15.780415	50.0409775	CR	13.2.2012	1	2	business	2420	300	0	2720	average	26	55	53	33	6.8	rain/snow	25.05
38	male	Pardubice	15.780415	50.0409775	CR	13.2.2012	1	2	business	2420	300	0	2720	average	27	58	56	62	6.8	rain/snow	25.05
65	female	Nitra	18.0902903	48.3139558	Slovakia	15.2.2012	1	3	business	3630	450	0	4080	high	85	89	64	56	12.9	cloudy	25.19
29	male	Dresden	13.7397044	51.0497456	Germany	15.2.2012	21	3	private	76230	9450	200	85480	high	92	91	100	58	12.9	cloudy	25.19
80	male	Hradec Králové	15.8353464	50.2100194	CR	15.2.2012	21	3	private	76230	0	200	76030	high	89	89	86	22	12.9	cloudy	25.19
81	female	Salzburg	13.0475658	47.798095	Austria	15.2.2012	21	3	private	76230	9450	200	85480	high	81	96	63	56	12.9	cloudy	25.19
74	female	Wien	16.3736767	48.2115631	Austria	15.2.2012	21	4	private	101640	12600	200	114040	high	97	87	91	51	12.9	cloudy	25.19
80	female	Hradec Králové	15.8353464	50.2100194	CR	15.2.2012	21	1	private	25410	0	200	25210	high	88	81	85	57	12.9	cloudy	25.19
38	male	Nitra	18.0902903	48.3139558	Slovakia	15.2.2012	1	2	business	2420	300	0	2720	high	85	91	86	49	12.9	cloudy	25.19
39	female	Liberec	15.0663036	50.7709239	CR	15.2.2012	1	2	business	2420	300	0	2720	high	84	85	61	60	12.9	cloudy	25.19
75	male	Linz	14.2862742	48.3066489	Austria	16.2.2012	1	2	business	2420	0	0	2420	high	99	85	85	60	13.2	cloudy	25.27
53	male	Linz	14.2862742	48.3066489	Austria	16.2.2012	1	2	business	2420	300	0	2720	high	86	82	85	55	13.2	cloudy	25.27
70	female	Praha	14.4212806	50.0874967	CR	17.2.2012	14	4	private	67760	8400	200	75960	low	14	38	38	48	13.4	rain/snow	25
35	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	2	4	private	9680	0	200	9480	average	43	41	60	45	13.4	rain/snow	25
39	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	7	2	private	16940	0	200	16740	average	26	49	43	35	13.4	rain/snow	25
25	female	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	3	private	25410	0	200	25210	average	51	44	43	52	13.4	rain/snow	25
55	female	Dresden	13.7397044	51.0497456	Germany	17.2.2012	2	4	private	9680	1200	200	10680	average	52	66	46	47	13.4	rain/snow	25
19	female	Dresden	13.7397044	51.0497456	Germany	17.2.2012	2	2	private	4840	600	200	5240	average	35	57	72	50	13.4	rain/snow	25
77	male	Praha	14.4212806	50.0874967	CR	17.2.2012	14	4	private	67760	0	200	67560	low	39	34	27	72	13.4	rain/snow	25
71	male	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	2	private	16940	0	200	16740	average	25	60	41	60	13.4	rain/snow	25
22	female	Dresden	13.7397044	51.0497456	Germany	17.2.2012	2	4	private	9680	1200	200	10680	average	44	54	59	33	13.4	rain/snow	25
21	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	7	1	private	8470	0	200	8270	average	26	54	72	60	13.4	rain/snow	25
43	male	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	3	private	25410	3150	200	28360	average	34	53	41	64	13.4	rain/snow	25
70	male	Praha	14.4212806	50.0874967	CR	17.2.2012	14	4	private	67760	0	200	67560	low	16	39	40	40	13.4	rain/snow	25
36	male	Salzburg	13.0475658	47.798095	Austria	17.2.2012	2	2	private	4840	600	200	5240	average	27	67	59	47	13.4	rain/snow	25
71	male	Bratislava	17.1097606	48.1547933	Slovakia	17.2.2012	2	2	private	4840	0	200	4640	average	26	58	55	57	13.4	rain/snow	25
35	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	7	2	private	16940	2100	200	18840	average	41	68	53	47	13.4	rain/snow	25
45	female	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	1	private	8470	1050	200	9320	average	41	65	72	49	13.4	rain/snow	25
44	female	Dresden	13.7397044	51.0497456	Germany	17.2.2012	7	2	private	16940	0	200	16740	average	34	53	53	48	13.4	rain/snow	25
50	male	Bratislava	17.1097606	48.1547933	Slovakia	17.2.2012	2	2	private	4840	600	200	5240	average	58	41	42	64	13.4	rain/snow	25
19	female	Praha	14.4212806	50.0874967	CR	17.2.2012	14	4	private	67760	8400	200	75960	low	23	26	15	53	13.4	rain/snow	25
70	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	2	4	private	9680	1200	200	10680	average	25	59	71	34	13.4	rain/snow	25
73	female	Praha	14.4212806	50.0874967	CR	17.2.2012	14	4	private	67760	8400	200	75960	low	39	27	40	45	13.4	rain/snow	25
45	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	14	4	private	67760	8400	200	75960	low	30	39	16	55	13.4	rain/snow	25
20	male	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	1	private	8470	1050	200	9320	average	57	67	42	36	13.4	rain/snow	25
31	male	Dresden	13.7397044	51.0497456	Germany	17.2.2012	2	2	private	4840	600	200	5240	average	50	53	69	61	13.4	rain/snow	25
75	female	Praha	14.4212806	50.0874967	CR	17.2.2012	14	4	private	67760	8400	200	75960	low	37	40	14	38	13.4	rain/snow	25
21	male	Zlín	17.6700633	49.2280669	CR	17.2.2012	7	2	private	16940	2100	200	18840	average	44	55	71	45	13.4	rain/snow	25
33	male	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	3	private	25410	3150	200	28360	average	51	52	45	33	13.4	rain/snow	25
32	male	Wien	16.3736767	48.2115631	Austria	17.2.2012	7	3	private	25410	3150	200	28360	average	43	53	59	34	13.4	rain/snow	25
33	male	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	300	0	2720	average	59	66	60	47	10.9	sunny	24.91
65	female	Dresden	13.7397044	51.0497456	Germany	20.2.2012	2	2	private	4840	600	0	5440	average	43	60	43	61	10.9	sunny	24.91
71	female	Wien	16.3736767	48.2115631	Austria	20.2.2012	2	4	private	9680	1200	0	10880	average	58	56	48	57	10.9	sunny	24.91
21	male	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	0	0	2420	average	33	66	55	61	10.9	sunny	24.91
64	male	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	0	0	2420	average	41	58	57	51	10.9	sunny	24.91
29	female	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	0	0	2420	average	59	55	54	63	10.9	sunny	24.91
25	male	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	300	0	2720	average	33	59	55	57	10.9	sunny	24.91
60	female	München	11.5836375	48.1364669	Germany	20.2.2012	2	2	private	4840	600	0	5440	average	41	49	59	34	10.9	sunny	24.91
30	male	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	300	0	2720	average	58	56	45	57	10.9	sunny	24.91
31	female	Pardubice	15.780415	50.0409775	CR	20.2.2012	1	2	business	2420	300	0	2720	average	41	41	56	49	10.9	sunny	24.91
60	female	Nitra	18.0902903	48.3139558	Slovakia	22.2.2012	1	2	business	2420	300	0	2720	high	95	93	64	26	10.8	sunny	25.17
34	female	Hradec Králové	15.8353464	50.2100194	CR	22.2.2012	21	3	private	76230	9450	200	85480	high	88	86	90	56	10.8	sunny	25.17
30	male	Hradec Králové	15.8353464	50.2100194	CR	22.2.2012	21	1	private	25410	3150	200	28360	high	88	99	76	58	10.8	sunny	25.17
51	male	Nitra	18.0902903	48.3139558	Slovakia	22.2.2012	1	2	business	2420	300	0	2720	high	89	93	99	27	10.8	sunny	25.17
65	male	Nitra	18.0902903	48.3139558	Slovakia	22.2.2012	1	2	business	2420	0	0	2420	high	87	100	99	54	10.8	sunny	25.17
50	male	Wien	16.3736767	48.2115631	Austria	22.2.2012	2	1	private	2420	300	0	2720	average	33	57	69	33	10.8	sunny	25.17
51	male	Nitra	18.0902903	48.3139558	Slovakia	22.2.2012	1	2	business	2420	300	0	2720	high	84	89	99	49	10.8	sunny	25.17
53	male	Hradec Králové	15.8353464	50.2100194	CR	22.2.2012	21	2	private	50820	6300	200	56920	high	86	96	98	21	10.8	sunny	25.17
34	male	Jihlava	15.5909008	49.3963828	CR	22.2.2012	1	2	business	2420	0	0	2420	high	87	99	98	60	10.8	sunny	25.17
35	male	Linz	14.2862742	48.3066489	Austria	23.2.2012	1	2	business	2420	300	0	2720	high	99	100	87	21	3.3	rain/snow	25.07
36	female	Linz	14.2862742	48.3066489	Austria	23.2.2012	1	3	business	3630	0	0	3630	high	81	88	62	49	3.3	rain/snow	25.07
49	male	Linz	14.2862742	48.3066489	Austria	23.2.2012	1	2	business	2420	300	0	2720	high	94	91	92	54	3.3	rain/snow	25.07
45	male	Jihlava	15.5909008	49.3963828	CR	23.2.2012	1	2	business	2420	300	0	2720	high	97	85	75	25	3.3	rain/snow	25.07
30	male	Linz	14.2862742	48.3066489	Austria	23.2.2012	1	2	business	2420	0	0	2420	high	93	100	98	27	3.3	rain/snow	25.07
65	male	Linz	14.2862742	48.3066489	Austria	23.2.2012	1	2	business	2420	0	0	2420	high	90	99	85	23	3.3	rain/snow	25.07
66	male	Linz	14.2862742	48.3066489	Austria	23.2.2012	1	2	business	2420	300	0	2720	high	99	97	88	51	3.3	rain/snow	25.07
67	male	Olomouc	17.2498364	49.5961789	CR	23.2.2012	16	2	private	38720	4800	200	43320	average	28	57	42	34	3.3	rain/snow	25.07
70	female	Bratislava	17.1097606	48.1547933	Slovakia	24.2.2012	2	2	private	4840	0	200	4640	average	28	59	47	58	5.2	sunny	25.03
25	female	Bratislava	17.1097606	48.1547933	Slovakia	24.2.2012	2	1	private	2420	300	200	2520	average	27	59	58	47	5.2	sunny	25.03
51	male	Dresden	13.7397044	51.0497456	Germany	24.2.2012	2	2	private	4840	600	200	5240	average	35	53	57	63	5.2	sunny	25.03
21	male	Praha	14.4212806	50.0874967	CR	24.2.2012	2	2	private	4840	600	200	5240	average	27	51	55	57	5.2	sunny	25.03
47	female	Wien	16.3736767	48.2115631	Austria	24.2.2012	7	3	private	25410	3150	200	28360	average	43	55	70	33	5.2	sunny	25.03
55	female	Dresden	13.7397044	51.0497456	Germany	24.2.2012	7	4	private	33880	0	200	33680	average	49	53	59	46	5.2	sunny	25.03
43	male	Dresden	13.7397044	51.0497456	Germany	24.2.2012	2	4	private	9680	1200	200	10680	average	51	54	42	51	5.2	sunny	25.03
18	male	Dresden	13.7397044	51.0497456	Germany	24.2.2012	7	2	private	16940	2100	200	18840	average	50	66	54	33	5.2	sunny	25.03
73	male	Wien	16.3736767	48.2115631	Austria	24.2.2012	7	3	private	25410	0	200	25210	average	43	52	43	60	5.2	sunny	25.03
55	female	Dresden	13.7397044	51.0497456	Germany	24.2.2012	2	4	private	9680	1200	200	10680	average	52	53	53	47	5.2	sunny	25.03
22	male	Praha	14.4212806	50.0874967	CR	24.2.2012	14	1	private	16940	2100	200	18840	low	32	26	39	3	5.2	sunny	25.03
24	female	Dresden	13.7397044	51.0497456	Germany	27.2.2012	2	2	private	4840	600	0	5440	average	26	44	60	60	14.9	sunny	25.05
51	female	Dresden	13.7397044	51.0497456	Germany	27.2.2012	2	2	private	4840	600	0	5440	average	36	43	42	36	14.9	sunny	25.05
79	male	Dresden	13.7397044	51.0497456	Germany	27.2.2012	2	2	private	4840	600	0	5440	average	44	53	55	57	14.9	sunny	25.05
19	female	Dresden	13.7397044	51.0497456	Germany	27.2.2012	2	2	private	4840	0	0	4840	average	33	50	42	33	14.9	sunny	25.05
79	female	Jihlava	15.5909008	49.3963828	CR	27.2.2012	2	2	private	4840	600	0	5440	average	26	49	59	47	14.9	sunny	25.05
64	female	Salzburg	13.0475658	47.798095	Austria	29.2.2012	1	4	business	4840	600	0	5440	high	90	89	88	53	10.9	rain/snow	24.84
29	female	Nitra	18.0902903	48.3139558	Slovakia	29.2.2012	1	2	business	2420	300	0	2720	high	85	82	88	59	10.9	rain/snow	24.84
68	male	Zlín	17.6700633	49.2280669	CR	29.2.2012	2	1	private	2420	0	0	2420	average	36	56	60	33	10.9	rain/snow	24.84
75	female	Olomouc	17.2498364	49.5961789	CR	1.3.2012	16	2	private	38720	0	200	38520	average	28	41	41	63	8.5	rain/snow	24.89
51	female	Olomouc	17.2498364	49.5961789	CR	1.3.2012	16	2	private	38720	0	200	38520	average	34	44	42	46	8.5	rain/snow	24.89
82	male	Olomouc	17.2498364	49.5961789	CR	1.3.2012	16	2	private	38720	0	200	38520	average	28	65	56	47	8.5	rain/snow	24.89
31	male	Olomouc	17.2498364	49.5961789	CR	1.3.2012	16	2	private	38720	0	200	38520	average	52	55	70	46	8.5	rain/snow	24.89
76	female	Praha	14.4212806	50.0874967	CR	1.3.2012	16	2	private	38720	0	200	38520	average	35	68	56	48	8.5	rain/snow	24.89
27	female	Linz	14.2862742	48.3066489	Austria	1.3.2012	1	2	business	2420	0	0	2420	high	95	93	75	21	8.5	rain/snow	24.89
22	male	Olomouc	17.2498364	49.5961789	CR	1.3.2012	16	2	private	38720	0	200	38520	average	41	68	43	36	8.5	rain/snow	24.89
77	male	Kladno	14.1022533	50.1484586	CR	2.3.2012	2	2	private	4840	0	200	4640	average	59	56	60	35	14	cloudy	24.71
53	female	Olomouc	17.2498364	49.5961789	CR	2.3.2012	2	3	private	7260	0	200	7060	average	52	59	46	52	14	cloudy	24.71
20	male	Kladno	14.1022533	50.1484586	CR	2.3.2012	2	2	private	4840	0	200	4640	average	42	55	71	36	14	cloudy	24.71
21	male	Kladno	14.1022533	50.1484586	CR	2.3.2012	2	1	private	2420	0	200	2220	average	58	66	48	51	14	cloudy	24.71
68	female	Kladno	14.1022533	50.1484586	CR	2.3.2012	2	1	private	2420	0	200	2220	average	41	68	70	51	14	cloudy	24.71
20	male	Ostrava	18.2825511	49.8341497	CR	2.3.2012	7	4	private	33880	0	200	33680	high	90	93	89	22	14	cloudy	24.71
56	female	Zlín	17.6700633	49.2280669	CR	2.3.2012	2	2	private	4840	0	200	4640	average	49	67	44	36	14	cloudy	24.71
19	male	Zlín	17.6700633	49.2280669	CR	3.3.2012	7	2	private	16940	0	600	16340	high	96	82	98	50	12	sunny	24.71
82	female	Zlín	17.6700633	49.2280669	CR	3.3.2012	7	4	private	33880	0	600	33280	high	86	96	75	55	12	sunny	24.71
81	male	Zlín	17.6700633	49.2280669	CR	3.3.2012	7	4	private	33880	0	600	33280	high	87	86	90	50	12	sunny	24.71
65	male	Budweis	14.4757883	48.9763169	CR	4.3.2012	1	1	private	1210	0	200	1010	low	16	29	39	53	6.6	sunny	24.71
31	female	Karlovy Vary	12.8690381	50.2311075	CR	5.3.2012	1	1	business	1210	0	0	1210	average	33	44	57	51	6.3	sunny	24.77
43	male	Berlin	13.3908886	52.5176189	Germany	5.3.2012	2	3	private	7260	0	0	7260	average	26	68	71	49	6.3	sunny	24.77
32	male	Dresden	13.7397044	51.0497456	Germany	5.3.2012	2	2	private	4840	0	0	4840	average	28	44	69	57	6.3	sunny	24.77
20	female	Jihlava	15.5909008	49.3963828	CR	5.3.2012	1	1	business	1210	0	0	1210	low	39	37	28	69	6.3	sunny	24.77
22	female	Wien	16.3736767	48.2115631	Austria	7.3.2012	2	1	private	2420	0	0	2420	average	36	43	70	33	9.2	cloudy	24.87
25	male	Olomouc	17.2498364	49.5961789	CR	8.3.2012	16	2	private	38720	0	200	38520	average	60	59	44	34	10	sunny	24.77
51	female	Olomouc	17.2498364	49.5961789	CR	8.3.2012	16	2	private	38720	0	200	38520	average	50	43	46	49	10	sunny	24.77
80	female	Berlin	13.3908886	52.5176189	Germany	9.3.2012	2	1	private	2420	0	200	2220	average	25	68	53	60	12.3	sunny	24.72
21	female	Kladno	14.1022533	50.1484586	CR	9.3.2012	2	2	private	4840	0	200	4640	average	43	60	57	52	12.3	sunny	24.72
66	male	Ostrava	18.2825511	49.8341497	CR	9.3.2012	7	3	private	25410	0	200	25210	high	91	96	74	26	12.3	sunny	24.72
36	male	Ostrava	18.2825511	49.8341497	CR	9.3.2012	7	4	private	33880	0	200	33680	high	82	86	98	56	12.3	sunny	24.72
81	male	Kladno	14.1022533	50.1484586	CR	9.3.2012	2	2	private	4840	0	200	4640	average	58	50	56	50	12.3	sunny	24.72
21	male	Dresden	13.7397044	51.0497456	Germany	9.3.2012	2	1	private	2420	0	200	2220	average	43	50	47	34	12.3	sunny	24.72
20	male	Zlín	17.6700633	49.2280669	CR	10.3.2012	7	2	private	16940	0	600	16340	high	94	98	91	57	8.9	cloudy	24.72
65	female	Zlín	17.6700633	49.2280669	CR	10.3.2012	7	1	private	8470	0	600	7870	high	87	96	64	56	8.9	cloudy	24.72
29	female	Jihlava	15.5909008	49.3963828	CR	10.3.2012	7	3	private	25410	0	600	24810	high	95	87	88	56	8.9	cloudy	24.72
21	male	Wien	16.3736767	48.2115631	Austria	10.3.2012	7	2	private	16940	0	600	16340	high	86	96	73	54	8.9	cloudy	24.72
20	female	Zlín	17.6700633	49.2280669	CR	10.3.2012	7	2	private	16940	0	600	16340	high	88	100	92	55	8.9	cloudy	24.72
74	female	Zlín	17.6700633	49.2280669	CR	10.3.2012	7	2	private	16940	0	600	16340	high	87	98	73	58	8.9	cloudy	24.72
43	female	Budweis	14.4757883	48.9763169	CR	11.3.2012	1	1	private	1210	0	200	1010	low	31	21	27	45	6.3	sunny	24.72
24	male	Liberec	15.0663036	50.7709239	CR	11.3.2012	1	4	private	4840	0	200	4640	high	93	81	100	54	6.3	sunny	24.72
37	female	Praha	14.4212806	50.0874967	CR	12.3.2012	1	1	business	1210	0	0	1210	low	23	28	13	55	7.6	rain/snow	24.56
38	female	Pardubice	15.780415	50.0409775	CR	12.3.2012	1	4	business	4840	0	0	4840	average	34	60	53	63	7.6	rain/snow	24.56
79	female	Wien	16.3736767	48.2115631	Austria	14.3.2012	2	1	private	2420	0	0	2420	average	52	41	53	58	12.7	cloudy	24.61
33	male	Wien	16.3736767	48.2115631	Austria	14.3.2012	2	2	private	4840	0	0	4840	average	59	68	59	52	12.7	cloudy	24.61
65	male	Wien	16.3736767	48.2115631	Austria	14.3.2012	2	1	private	2420	0	0	2420	average	49	51	43	46	12.7	cloudy	24.61
38	female	Zlín	17.6700633	49.2280669	CR	14.3.2012	2	1	private	2420	0	0	2420	average	44	60	60	34	12.7	cloudy	24.61
63	male	Wien	16.3736767	48.2115631	Austria	14.3.2012	2	1	private	2420	0	0	2420	average	35	65	56	62	12.7	cloudy	24.61
35	female	Wien	16.3736767	48.2115631	Austria	14.3.2012	2	2	private	4840	0	0	4840	average	26	49	48	63	12.7	cloudy	24.61
78	female	Pilsen	13.3771556	49.7490406	CR	15.3.2012	1	4	business	4840	0	0	4840	average	42	67	54	49	13.6	cloudy	24.56
39	male	Zlín	17.6700633	49.2280669	CR	15.3.2012	1	4	business	4840	0	0	4840	average	25	54	43	60	13.6	cloudy	24.56
40	male	Pilsen	13.3771556	49.7490406	CR	15.3.2012	1	4	business	4840	0	0	4840	average	33	60	42	47	13.6	cloudy	24.56
30	female	Pilsen	13.3771556	49.7490406	CR	15.3.2012	1	4	business	4840	0	0	4840	average	57	55	54	64	13.6	cloudy	24.56
56	male	Pilsen	13.3771556	49.7490406	CR	15.3.2012	1	4	business	4840	0	0	4840	average	27	49	70	48	13.6	cloudy	24.56
76	female	Olomouc	17.2498364	49.5961789	CR	15.3.2012	16	2	private	38720	0	200	38520	average	28	68	58	57	13.6	cloudy	24.56
71	female	Pilsen	13.3771556	49.7490406	CR	15.3.2012	1	4	business	4840	0	0	4840	average	27	57	42	45	13.6	cloudy	24.56
19	female	Pilsen	13.3771556	49.7490406	CR	15.3.2012	1	1	business	1210	0	0	1210	average	49	41	55	36	13.6	cloudy	24.56
21	female	Ostrava	18.2825511	49.8341497	CR	16.3.2012	7	4	private	33880	0	200	33680	high	89	83	88	55	19.9	cloudy	24.51
42	female	Karlovy Vary	12.8690381	50.2311075	CR	16.3.2012	7	1	private	8470	0	200	8270	average	35	50	45	50	19.9	cloudy	24.51
54	male	Ostrava	18.2825511	49.8341497	CR	16.3.2012	7	4	private	33880	0	200	33680	high	83	96	74	25	19.9	cloudy	24.51
71	female	Ostrava	18.2825511	49.8341497	CR	16.3.2012	7	2	private	16940	0	200	16740	high	81	90	89	25	19.9	cloudy	24.51
41	male	Berlin	13.3908886	52.5176189	Germany	16.3.2012	7	1	private	8470	0	200	8270	average	58	59	43	51	19.9	cloudy	24.51
50	female	Berlin	13.3908886	52.5176189	Germany	16.3.2012	7	1	private	8470	0	200	8270	average	50	52	69	48	19.9	cloudy	24.51
80	male	Ostrava	18.2825511	49.8341497	CR	16.3.2012	7	4	private	33880	0	200	33680	high	99	93	61	57	19.9	cloudy	24.51
18	male	Berlin	13.3908886	52.5176189	Germany	16.3.2012	7	2	private	16940	0	200	16740	average	49	50	45	47	19.9	cloudy	24.51
42	male	Berlin	13.3908886	52.5176189	Germany	16.3.2012	7	1	private	8470	0	200	8270	average	43	59	53	35	19.9	cloudy	24.51
56	male	Berlin	13.3908886	52.5176189	Germany	16.3.2012	7	1	private	8470	0	200	8270	average	59	66	43	48	19.9	cloudy	24.51
28	female	Ostrava	18.2825511	49.8341497	CR	16.3.2012	7	4	private	33880	0	200	33680	high	85	85	90	22	19.9	cloudy	24.51
21	female	München	11.5836375	48.1364669	Germany	16.3.2012	7	4	private	33880	0	200	33680	average	35	41	57	61	19.9	cloudy	24.51
33	male	Berlin	13.3908886	52.5176189	Germany	16.3.2012	7	3	private	25410	0	200	25210	average	33	41	69	52	19.9	cloudy	24.51
66	male	Ostrava	18.2825511	49.8341497	CR	16.3.2012	7	2	private	16940	0	200	16740	high	95	92	74	55	19.9	cloudy	24.51
63	female	Zlín	17.6700633	49.2280669	CR	17.3.2012	7	2	private	16940	0	600	16340	high	93	94	90	28	20.1	sunny	24.51
33	female	Wien	16.3736767	48.2115631	Austria	18.3.2012	1	1	private	1210	0	200	1010	low	31	36	38	69	20.3	sunny	24.51
20	female	Liberec	15.0663036	50.7709239	CR	18.3.2012	1	4	private	4840	0	200	4640	high	83	97	73	50	20.3	sunny	24.51
22	male	Liberec	15.0663036	50.7709239	CR	18.3.2012	1	4	private	4840	0	200	4640	high	95	95	85	52	20.3	sunny	24.51
71	male	Liberec	15.0663036	50.7709239	CR	18.3.2012	1	4	private	4840	0	200	4640	high	97	89	62	51	20.3	sunny	24.51
